Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,
Giant Pharmacy #0363,1400 MERRITT BLVD,,DUNDALK MD  21222,P02617,07/03/2001,05/31/2024,
Giant Pharmacy #0364,1401 ROCK SPRING RD,,BELAIR MD  21014,P02674,12/26/2001,05/31/2024,
Giant Pharmacy #0365,3299 EMMORTON RD,,ABINGDON MD  21009,P02659,10/19/2001,05/31/2024,
Giant Pharmacy #0366,8750 ARLISS ST,,SILVER SPRING MD  20901,P00269,12/23/1954,05/31/2024,
Giant Pharmacy #0368,842 MUDDY BRANCH ROAD,,GAITHERSBURG MD  20878,P01232,10/17/1985,05/31/2024,
Giant Pharmacy #0373,5500 SILVER HILL,,DISTRICT HGTS MD  20747,P01038,01/30/1984,05/31/2024,
GIANT PHARMACY #2304,8905 BELAIR RD,,NOTTINGHAM MD  21236,P05740,08/08/2012,05/31/2024,
Giant Pharmacy #2310,9200 BALTO NATL PIKE,,ELLICOTT CITY MD  21043,P00275,12/23/1954,05/31/2024,
GIANT PHARMACY #2311,1155 ANNAPOLIS RD,,Odenton MD  21113,P06996,11/13/2015,05/31/2024,
Giant Pharmacy #2312,6636 N. Ritchie Highway,,Glen Burnie MD  21061,P01258,03/26/1986,05/31/2024,
GIANT PHARMACY #2317,18140 Village Mart Drive,,Olney MD  20832,P00263,12/23/1954,05/31/2024,
Giant Pharmacy #2330,1649 Crofton Center,,Crofton MD  21114,P00988,03/15/1983,05/31/2024,
Giant Pharmacy #2332,12028 Cherry Hill Road,,Silver Spring MD  20904,P08613,07/07/2022,05/31/2024,
GIANT PHARMACY #325,10790 TOWN CENTER BLVD,,DUNKIRK MD  20754,P04466,08/16/2006,05/31/2024,
GIANT PHARMACY 109,405 N CENTER STREET,,WESTMINSTER MD  21157,P01630,03/18/1991,05/31/2024,
GIANT PHARMACY 111,6480 FREETOWN ROAD,,COLUMBIA MD  21044,P01708,05/20/1992,05/31/2024,
GIANT PHARMACY 117,6223 BALTO NATL PIKE,,BALTIMORE MD  21228,P00259,12/23/1954,05/31/2024,
GIANT PHARMACY 123,7074 ALLENTOWN RD,,CAMP SPRINGS MD  20748,P00901,07/22/1981,05/31/2024,
GIANT PHARMACY 125,12051 ROCKVILLE PIKE,,ROCKVILLE MD  20850,P00272,12/23/1954,05/31/2024,
GIANT PHARMACY 128,2145 YORK RD,,LUTHERVILLE MD  21093,P00267,12/23/1954,05/31/2024,
GIANT PHARMACY 131,8665  PHILADELPHIA RD,,BALTIMORE MD  21237,P01298,09/11/1986,05/31/2024,
GIANT PHARMACY 132,10400 OLD GEORGETOWN RD,,BETHESDA MD  20814,P00274,12/23/1954,05/31/2024,
GIANT PHARMACY 135,3860 INTERNATIONAL DR,,SILVER SPRING MD  20906,P01288,10/20/1986,05/31/2024,
GIANT PHARMACY 140,5815 EASTERN AVE,,W HYATTSVILLE MD  20782,P02063,06/12/1997,05/31/2024,
GIANT PHARMACY 141,7940 CRAIN HWY,,GLEN BURNIE MD  21061,P00279,12/23/1954,05/31/2024,
GIANT PHARMACY 143,4715 DORSEY HALL DRIVE,,ELLICOTT CITY MD  21043,P01512,08/18/1989,05/31/2024,
GIANT PHARMACY 144,7920-30 BELAIR RD,,BALTIMORE MD  21236,P00280,12/23/1954,05/31/2024,
GIANT PHARMACY 145,5150 SINCLAIR LANE,,BALTIMORE MD  21206,P00281,12/23/1954,05/31/2024,
GIANT PHARMACY 146,655 SOLOMONS ISLAND,ROAD NORTH,PR FREDERICK MD  20678,P01658,09/24/1991,05/31/2024,
GIANT PHARMACY 150,46 BUREAU DR,,GAITHERSBURG MD  20878,P00284,12/23/1954,05/31/2024,
GIANT PHARMACY 152,13490 NEW HAMPSHIRE AVE,,COLESVILLE MD  20904,P00286,12/23/1954,05/31/2024,
GIANT PHARMACY 155,7200 CRADLEROCK WAY,,COLUMBIA MD  21045,P00288,12/23/1954,05/31/2024,
GIANT PHARMACY 159,3757 OLD COURT RD,,PIKESVILLE MD  21208,P00265,08/07/2002,05/31/2024,
GIANT PHARMACY 161,16837 CRABBS BRANCH WAY,,ROCKVILLE MD  20855,P00291,12/23/1954,05/31/2024,
GIANT PHARMACY 166,4622 WILKENS AVE,,BALTIMORE MD  21229,P00869,02/17/1981,05/31/2024,
GIANT PHARMACY 167,948 BAY RIDGE RD,,ANNAPOLIS MD  21403,P00891,12/23/1954,05/31/2024,
GIANT PHARMACY 169,13060 MIDDLEBROOK RD,,GERMANTOWN MD  20874,P00940,05/20/1980,05/31/2024,
GIANT PHARMACY 192,18250 FLOWER HILL WAY,,GAITHERSBURG MD  20879,P01354,03/12/1987,05/31/2024,
GIANT PHARMACY 194,2323 FOREST DRIVE,,ANNAPOLIS MD  21401,P01380,07/08/1987,05/31/2024,
GIANT PHARMACY 196,20044 GOSHEN ROAD,,GAITHERSBURG MD  20879,P01411,10/29/1987,05/31/2024,
GIANT PHARMACY 197,7944 HONEYGO BOULEVARD,,BALTIMORE MD  21236,P01442,05/31/1988,05/31/2024,
GIANT PHARMACY 198,9812 FALLS ROAD,,POTOMAC MD  20854,P01483,02/28/1989,05/31/2024,
GIANT PHARMACY 2301,15618 COLUMBIA PIKE,,BURTONSVILLE MD  20866,P01391,11/03/1987,05/31/2024,
GIANT PHARMACY 2318,10210 Mill Run Circle,,OWINGS MILLS MD  21117,P01910,09/22/1995,05/31/2024,
GIANT PHARMACY 300,8805 CENTRE PARK DRIVE,,COLUMBIA MD  21045,P03172,11/06/2003,05/31/2024,
GIANT PHARMACY 303,601 EAST 33RD STREET,,BALTIMORE MD  21218,P04050,06/16/2004,05/31/2024,
GIANT PHARMACY 304,3297 PLAZA WAY,,WALDORF MD  20603,P04069,06/17/2004,05/31/2024,
GIANT PHARMACY 313,18331 LEAMAN FARM ROAD,,GERMANTOWN MD  20874,P02382,08/04/1999,05/31/2024,
GIANT PHARMACY 315,7546 ANNAPOLIS ROAD,,LANHAM MD  20784,P01732,10/22/1992,05/31/2024,
GIANT PHARMACY 316,6000 GREENBELT ROAD,,GREENBELT MD  20770,P01754,03/05/1993,05/31/2024,
GIANT PHARMACY 317,4624 EDMONDSON AVENUE,,BALTIMORE MD  21229,P02279,10/08/1998,05/31/2024,
GIANT PHARMACY 319,625 HUNGERFORD DRIVE,,ROCKVILLE MD  20850,P03027,05/17/2002,05/31/2024,
GIANT PHARMACY 320,229 KENTLANDS BLVD,,GAITHERSBURG MD  20878,P01800,10/15/1993,05/31/2024,
GIANT PHARMACY 322,11604 REISTERSTOWN ROAD,,REISTERSTOWN MD  21136,P03032,06/21/2002,05/31/2024,
GIANT PHARMACY 323,8223 ELLIOTT RD,,EASTON MD  21601,P01829,06/08/1994,05/31/2024,
GIANT PHARMACY 324,4315 MOUNTAIN ROAD,,PASADENA MD  21122,P03189,12/11/2003,05/31/2024,
GIANT PHARMACY 326,10515 GREENBELT ROAD,,LANHAM MD  20706,P03188,12/04/2003,05/31/2024,
GIANT PHARMACY 327,7142 ARLINGTON ROAD,,BETHESDA MD  20814,P03083,11/08/2002,05/31/2024,
GIANT PHARMACY 329,9719 TRAVILLE GTWY DR,,ROCKVILLE MD  20850,P03082,12/23/2002,05/31/2024,
GIANT PHARMACY 330,3500 N W  CRAIN HWY,,BOWIE MD  20716,P01935,12/05/1995,05/31/2024,
GIANT PHARMACY 334,3521 EAST WEST HWY,,HYATTSVILLE MD  20782,P04025,02/04/2004,05/31/2024,
GIANT PHARMACY 335,1700 KINGFISHER DRIVE,SHOPS AT MONOCACY,FREDERICK MD  21701,P04108,10/01/2004,05/31/2024,
GIANT PHARMACY 336,2900 UNIVERSITY BLVD W,,WHEATON MD  20902,P03179,10/06/2003,05/31/2024,
GIANT PHARMACY 337,6620 REISTERSTOWN RD,,BALTIMORE MD  21215,P04079,07/29/2004,05/31/2024,
GIANT PHARMACY 340,1009 FAIRLAWN ST,,LAUREL MD  20707,P00287,12/23/1954,05/31/2024,
GIANT PHARMACY 341,20 AUDREY LANE,,OXON HILL MD  20745,P02072,07/07/1997,05/31/2024,
GIANT PHARMACY 342,4119 BRANCH AVE,,MARLOW HGTS MD  20748,P01412,03/01/1988,05/31/2024,
Giant Pharmacy 344,6020 MARSHALEE DR,,ELKRIDGE MD  21075,P02047,03/28/1997,05/31/2024,
Giant Pharmacy 346,5316 NEW DESIGN RD,,FREDERICK MD  21701,P02207,12/10/1997,05/31/2024,
Giant Pharmacy 347,10480 CAMPUS WAY SOUTH,,LARGO MD  20774,P02206,01/06/1998,05/31/2024,
GIG Pharmacy Home Healthcare,3611 BRANCH AVE,SUITE 103,TEMPLE HILLS MD  20748,P02537,10/06/2000,05/31/2024,
Glen Burnie Pharmacy dba LIFELINE PHARMACY,85 KINDRED WAY,SUITE  102,Glen Burnie MD  21061,P07997,12/26/2018,05/31/2024,
GLEN ECHO PHARMACY,7311 MACARTHUR BLVD,,BETHESDA MD  20816,P01850,09/30/1994,05/31/2024,
Glenmont Pharmacy LLC,12331 Georgia Avenue,Suite 1A,Silver Spring MD  20906,P08568,03/24/2022,05/31/2024,
Glenmore Specialty Pharmacy,9712 Belair Road,Suite 101,Nottingham MD  21236,PW0480,09/15/2015,05/31/2024,
GLOBAL HEALTH PHARMACY INC,7500 MONTPELIER ROAD,SUITE 106,LAUREL MD  20723,P05004,06/09/2009,05/31/2024,
Glory Pharmacy,3404 Eastern Avenue,,Baltimore MD  21224,P07638,11/16/2017,05/31/2024,
GOVANS PROFESSIONAL PHARMACY,5109 YORK ROAD,,BALTIMORE MD  21212,P01226,09/05/1985,05/31/2024,
Grace Medical Center  Inc.,2000 W BALTIMORE ST,,BALTIMORE MD  21223,P08236,03/10/2020,05/31/2024,
Greater Baden Medical Services Pharmacy,7450 Albert road,Suite 104,Brandywine MD  20613,P08497,09/24/2021,05/31/2024,
GREATER BALTIMORE MEDICAL CENTER,6701 N CHARLES ST,,BALTIMORE MD  21204,P00299,10/07/1960,05/31/2024,
Greater Baltimore Medical Center Specialty Pharmacy,6701 N. Charles Street,Suite B,Baltimore MD  21204,P08428,04/16/2021,05/31/2024,
Green Pharmacy LLC,501 North Frederick Avenue,Suite 107B,Gaithersburg MD  20877,P07156,06/07/2017,05/31/2024,
GREENBELT PHARMACY,9801 GREENBELT ROAD,SUITE 207,LANHAM MD  20706,P05041,01/06/2010,05/31/2024,
GREENSBORO PHARMACY INC,102 S MAIN STREET,PO BOX 490,GREENSBORO MD  21639,P00353,12/09/2002,05/31/2024,
GREGGS PHARMACY,20 NORTH 3RD STREET,,OAKLAND MD  21550,P01328,08/23/1993,05/31/2024,
GRMC Inc,251 N FOURTH ST,,OAKLAND MD  21550,P08612,06/30/2022,05/31/2024,
GWYNN OAK PHARMACY,4909 LIBERTY HEIGHTS AVENUE,,Gwynn Oak MD  21207,P07413,10/20/2016,05/31/2024,
HABNAEL INC dba Greektown Pharmacy & Mini Mart,4501 Eastern Ave,1st Floor,Baltimore MD  21224,P08306,08/19/2020,05/31/2024,
HANA PHARMACY,3301 NORTH RIDGE RD,,Ellicott City MD  21043,P06909,07/10/2015,05/31/2024,
HANOVER PARK PHARMACY,7229 HANOVER PKWY,SUITE A,GREENBELT MD  20770,P05669,04/03/2012,05/31/2024,
HANSON PHARMACY,2110 CRAIN HIGHWAY,,Waldorf MD  20601,P05807,11/08/2012,05/31/2024,
HARFORD MEMORIAL HOSPITAL,501 S UNION AVENUE,,HARVE DE GRACE MD  21078,P01832,06/24/1994,05/31/2024,
HARFORD PHARMACY INC,1510 CONOWINGO ROAD,SUITE A,BEL AIR MD  21014,P00314,03/05/2001,05/31/2024,
HARRIS  TEETER  PHARMACY  #  408,14702  BALTIMORE  AVE,,Laurel MD  20707,P06576,10/08/2014,05/31/2024,
HARRIS  TEETER #392,3779  BOSTON  STREET,,Baltimore MD  21224,P06399,05/28/2014,05/31/2024,
Harris Teeter Pharmacy # 270,10125 Ward Road,,Dunkirk MD  20754,P07892,07/17/2018,05/31/2024,
Harris Teeter Pharmacy # 487,44900 St. Andrews Church Road,,California MD  20619,P07673,12/12/2017,05/31/2024,
HARRIS TEETER PHARMACY #322,8620 GUILFORD ROAD,,Columbia MD  21046,P06373,05/28/2014,05/31/2024,
HARRIS TEETER PHARMACY #323,8184 WESTSIDE DRIVE,,Fulton MD  20759,P06374,05/28/2014,05/31/2024,
HARRIS TEETER PHARMACY #324,15501 ANNAPOLIS ROAD,Ste 400,Bowie MD  20715,P07218,09/08/2016,05/31/2024,
HARRIS TEETER PHARMACY #325,14101 DARNESTOWN ROAD,,Germantown MD  20874,P06376,05/28/2014,05/31/2024,
HARRIS TEETER PHARMACY #328,11845 OLD GEORGETOWN ROAD,,North Bethesda MD  20852,P06375,05/28/2014,05/31/2024,
Harris Teeter Pharmacy #364,143 Ritchie Highway N,,Severna Park MD  21146,P07507,04/19/2017,05/31/2024,
HARRIS TEETER PHARMACY #373,12525 PARK POTOMAC AVENUE,,Potomac MD  20854,P06380,05/28/2014,05/31/2024,
HARRIS TEETER PHARMACY #376,1801 WHETSTONE WAY,,Baltimore MD  21230,P06379,05/28/2014,05/31/2024,
Harris Teeter Pharmacy #380,28528 Marlboro Ave,,Easton MD  21601,P07179,05/24/2016,05/31/2024,
HARRIS TEETER PHARMACY #382,11075 RESORT ROAD,,Ellicott City MD  21042,P06381,05/28/2014,05/31/2024,
HARRIS TEETER PHARMACY #384,323 COPLEY PLACE,,Gaithersburg MD  20878,P06382,05/28/2014,05/31/2024,
HARRIS TEETER PHARMACY #403,18169 TOWNCENTER DRIVE,,Olney MD  20832,P06377,05/28/2014,05/31/2024,
Harris Teeter Pharmacy #404,4805 Battery Lane,,Bethesda MD  20814,P07197,07/07/2016,05/31/2024,
HARRIS TEETER PHARMACY #409,22700 SWEET SHRUB DRIVE,,Clarksburg MD  20871,P06378,05/28/2014,05/31/2024,
HARRISON HEALTHCARE INC,2328 NORTH CHARLES ST,,BALTIMORE MD  21218,PW0268,12/22/2005,05/31/2024,
Harvard Discount Pharmacy,10 Warren Road,Suite 110,Cockeysville MD  21030,P04554,03/29/2007,05/31/2024,
Healing Touch Pharmacy LLC dba Healing Touch Pharmacy #01,5210 INDIAN HEAD H'WAY,UNIT 1RR,Oxon Hill MD  20745,P06826,03/31/2015,05/31/2024,
HEALTH CENTER PHARMACY,CAMPUS DRIVE,BLDG 140,COLLEGE PARK MD  20742,P00845,04/20/1984,05/31/2024,
HealthFirst LLC dba HealthFirst Pharmacy,186 Eastern Blvd N,,Hagerstown MD  21740,P08400,02/22/2021,05/31/2024,
HEALTHGATES PHARMACY & MEDICAL SUPPLY,9 S. HIGHLAND  AVE,,Baltimore MD  21224,P06109,10/22/2013,05/31/2024,
Heart to Hand Pharmacy,9701 Apollo Drive,,Upper Marlboro MD  20774,P07141,07/28/2016,05/31/2018,
Heartland Pharmacy of Maryland LLC dba Heartland Pharmacy of MD,9070 Junction Drive,,Annapolis Junction MD  20701,PW0532,10/09/2020,05/31/2024,
Hebron Pharmacy,100 S Main Street,,Hebron MD  21830,P08611,06/29/2022,05/31/2024,
HEREFORD PHARMACY INC,216 MT CARMEL RD,,PARKTON MD  21120,P08242,04/07/2020,05/31/2024,
HIGH ST DISCOUNT PHARMACY,30 HIGH ST,,Waldorf MD  20602,P06652,11/25/2014,05/31/2024,
HIGHLANDTOWN  PHARMACY  INC,3911  EASTERN  AVE,,Baltimore MD  21224,P06471,09/25/2014,05/31/2024,
Hill Top Pharmacy LLC,6188 Oxon Hill Road,,Oxon Hill MD  20745,P08600,06/17/2022,05/31/2024,
Hillcrest Pharmacy & Compounding of Elkton,120 E. Pulaski Highway,Suite 120,Elkton MD  21921,P07568,06/07/2017,05/31/2024,
Hillcrest Pharmacy & Compounding.,1080 W Patrick Street,Unit 10,Frederick MD  21703,P07478,04/26/2017,05/31/2024,
HILLS DRUG STORE INC,503 CYNWOOD DRIVE,,EASTON MD  21601,P01379,03/21/2003,05/31/2024,
"HMRX, LLC DBA CHARLOTTE HALL PHARMACY",29449 CHARLOTTE HALL ROAD,,Charlotte Hall MD  20622,PW0474,12/16/2014,05/31/2024,
Holy Cross Germantown Hospital,19801 Observation Drive,,Germantown MD  20876,PW0465,07/23/2014,05/31/2024,
HOLY CROSS HOSPITAL PHARMACY,1500 FOREST GLEN RD,,Silver Spring MD  20910,P00332,06/24/1959,05/31/2024,
"Hope -Well Pharmacy Williamsport,LLC; Express Pharmacy",307 E. POTOMAC ST,,Williamsport MD  21795,P06968,11/04/2015,05/31/2024,
HOPE FOR ALL PHARMACY & STORES,6901 Security Blvd,,Windsor Mill MD  21244,P07541,05/16/2017,05/31/2024,
HOWARD COUNTY GEN,5755 CEDAR LANE,PHARMACY DEPARTMENT,COLUMBIA MD  21044,P00335,06/24/1998,05/31/2024,
IgG of America L.L.C. dba CVS/Specialty,514 Progress Drive,Suite X-Z,Linthicum Heights MD  21090,PW0285,11/29/2006,05/31/2024,
INDIAN HEAD CARE PHARMACY,4115 INDIAN HEAD HWY,,INDIAN HEAD MD  20640,P05725,07/17/2012,05/31/2024,
IV SOLUTIONS,10231 OLD OCEAN CITY BLVD,suite 209,Berlin MD  21811,PW0372,12/19/2012,05/31/2024,
Janus Rx LLC,811 Eastern Shore Drive,,Salisbury MD  21804,P08473,07/28/2021,05/31/2024,
JARRETTSVILLE PHARMACY INC,3714 NORRISVILLE ROAD,P.O. BOX 57,JARRETTSVILLE MD  21084,P00355,05/07/1985,05/31/2024,
JNK Pharmacy,1810 Crain Highway,UNIT B,Glen Burnie MD  21061,P08313,09/02/2020,05/31/2024,
JOHN HOPKINS HOSPITAL AMBULATORY AND CARE TRANSITIONS PHARMACY DIVISION,601 N Caroline Street,Outpatient Center Room 1231,Baltimore MD  21287,P06336,05/29/2014,05/31/2024,
JOHN HOPKINS HOSPITAL CRITICAL CARE AND SURGERY PHARMACY DIVISION,1800  ORLEANS  ST  ZAYER  3121,,Baltimore MD  21287,P06339,05/29/2014,05/31/2024,
JOHN HOPKINS HOSPITAL PEDIATRIC PHARMACY DIVISION,1800  ORLEANS  ST  BLOOMBERG,,Baltimore MD  21287,P06338,05/29/2014,05/31/2024,
JOHN HOPKINS INVESTIGATIONAL DRUG SERVICES,600 N. WOLFE  ST    OSLER  100,,Baltimore MD  21287,PW0453,05/29/2014,05/31/2024,
JOHN MARSH ONCOLOGY PHARMACY,11110 MEDICAL CAMPUS RD,SUITE 129,HAGERSTOWN MD  21742,PW0250,04/21/2004,05/31/2024,
JOHNS  HOPKINS HOSPITAL  WEINBERG PHARMACY DIVISIONS,1800 Orleans St,Carnegie 180,Baltimore MD  21287,P06335,05/29/2014,05/31/2024,
JOHNS HOPKINS BAYVIEW MED CENTER,4940 EASTERN AVE,,BALTIMORE MD  21224,P01092,07/03/1984,05/31/2024,
Johns Hopkins Bayview Medical Center,4940 Eastern Avenue,"BMO Bldg, Rm 01-0154",Baltimore MD  21224,P02057,10/22/2002,05/31/2024,
JOHNS HOPKINS CENTRAL PHARMACY DIVISION,600 N WOLFE ST,CARNEIGIE 180,BALTIMORE MD  21287,P00352,08/24/1967,05/31/2024,
JOHNS HOPKINS HOSPITAL ADULT INPATIENT PHARMACY DIVISION,1800  ORLEANS ST  ZAYED  7000,,Baltimore MD  21287,P06337,05/29/2014,05/31/2024,
Johns Hopkins Hospital Discharge Pharmacy,600 N. Wolfe Street,"Carnegie Bldg, 2nd Floor",Baltimore MD  21287,P07682,12/20/2017,05/31/2024,
JOHNS HOPKINS HOSPITAL VIRAGH PHARMACY,201 NORTH BROADWAY,SUITE 6009,Baltimore MD  21287,P07859,05/02/2018,05/31/2024,
JOHNS HOPKINS ONCOLOGY CENTER,10803 Falls Road,Pavilion III,LUTHERVILLE MD  21093,PW0222,03/07/2002,05/31/2024,
JOHNS HOPKINS OUTPATIENT PHARM AT JHOC,601 N. Caroline Street,Suite 1006,Baltimore MD  21287,P01688,10/23/2002,05/31/2024,
JOHNS HOPKINS OUTPATIENT PHARMACY AT BARTLETT PRACTICE,1717 E. Monument Street,"Park Building, Room G-105",BALTIMORE MD  21287,P03167,10/03/2003,05/31/2024,
Johns Hopkins Outpatient Pharmacy at Bayview Annex,4940 Eastern Ave,,Baltimore MD  21224,P07381,10/12/2016,05/31/2024,
JOHNS HOPKINS OUTPATIENT PHARMACY at WEINBERG,401 N. Broadway,Suite 1001,Baltimore MD  21287,P02433,10/22/2002,05/31/2024,
JOHNS HOPKINS PHARMAQUIP INC,5901 HOLABIRD AVENUE,SUITE A,BALTIMORE MD  21224,PW0013,12/02/1992,05/31/2024,
JOPPA ROAD PHARMACY LLC,1907A EAST JOPPA ROAD,,BALTIMORE MD  21234,P05506,05/18/2011,05/31/2024,
JP Pharmacy LLC,515 Fairmount Ave,SUITE  130,Towson MD  21286,P07940,09/19/2018,05/31/2024,
Jubilant DraxImage Inc dba Jubilant RadioPhama,11650 Crossroad Circle,Suite J,Baltimore MD  21220,PW0535,05/27/2021,05/31/2024,
Jubilant DraxImage Inc dba Jubilant RadioPhama,12300 KILN COURT,SUITE D,BELTSVILLE MD  20705,PW0534,05/27/2021,05/31/2024,
KabaFusion MD LLC,8989 Herrmann Drive,Suite 140,Columbia MD  21045,P08688,12/20/2022,05/31/2024,
KAISER PERMANENTE ABINGDON PHARMACY,3400 BOX HILL CORPORATE CENTER DRIVE,SUITE 100,Abingdon MD  21009,P07474,02/22/2017,05/31/2024,
KAISER PERMANENTE ANNAPOLIS PHARMACY,888 BESTGATE RD,,ANNAPOLIS MD  21401,P05130,12/29/2009,05/31/2024,
KAISER PERMANENTE BALTIMORE HARBOR PHARMACY,815 EAST PRATT STREET,,Baltimore MD  21202,P05128,12/29/2009,05/31/2024,
KAISER PERMANENTE Bowie Fairwood Medical Center Pharmacy,5400 Hillmeade Road,,Bowie MD  20720,P08458,06/14/2021,05/31/2024,
KAISER PERMANENTE CAMP SPRINGS PHARMACY,6104 OLD BRANCH AVE,,TEMPLE HILLS MD  20748,P05129,12/29/2009,05/31/2024,
KAISER PERMANENTE COLUMBIA GATEWAY,7070 SAMUEL MORSE DR,,Columbia MD  21046,P05127,12/29/2009,05/31/2024,
KAISER PERMANENTE FREDERICK PHARMACY,7190 CRESTWOOD BLVD,,FREDERICK MD  21703,P05143,12/28/2009,05/31/2024,
KAISER PERMANENTE GAITHERSBURG INFUS RX,655 WATKINS MILL ROAD,,GAITHERSBURG MD  20879,PW0356,01/20/2012,05/31/2024,
KAISER PERMANENTE GAITHERSBURG PHARMACY,655 WATKINS MILL ROAD,,GAITHERSBURG MD  20879,P05131,12/29/2009,05/31/2024,
KAISER PERMANENTE KENSINGTON PHARMACY,10810 CONNECTICUT AVE,,KENSINGTON MD  20895,P05141,12/28/2009,05/31/2024,
KAISER PERMANENTE LARGO INFUSION RX,1221 MERCANTILE LN,,LARGO MD  20774,PW0335,02/24/2010,05/31/2024,
KAISER PERMANENTE LARGO PHARMACY,1221 MERCANTILE LN,,LARGO MD  20774,P05140,12/28/2009,05/31/2024,
Kaiser Permanente Lutherville- Timonium Pharmacy,2391 Greensprings Drive,3rd Floor,Lutherville Timonium MD  21093,P08515,11/09/2021,05/31/2024,
Kaiser Permanente Lutherville-Timonium Infusion Pharmacy,2391 Greensprings Drive,3rd Floor,Lutherville Timonium MD  21093,P08528,01/26/2022,05/31/2024,
KAISER PERMANENTE MARLOW HGHTS PHARMACY,5100 AUTH WAY,,SUITLAND MD  20746,P05139,12/28/2009,05/31/2024,
Kaiser Permanente North Arundel Pharmacy,7670 Quarterfield Road,,Glen Burnie MD  21061,P07497,04/07/2017,05/31/2024,
KAISER PERMANENTE SHADY GROVE PHARMACY,1396 PICCARD DR,,ROCKVILLE MD  20850,P05137,12/29/2009,05/31/2024,
KAISER PERMANENTE SILVER SPRING PHARMACY,12201 PLUM ORCHARD DR,,COLESVILLE MD  20910,P05136,12/29/2009,05/31/2024,
KAISER PERMANENTE SOUTH BALTIMORE COUNTY PHARMACY,1701 TWIN SPRINGS ROAD,,Halethorpe MD  21227,P05937,02/22/2013,05/31/2024,
Kaiser Permanente West Hyattsville Pharmacy,5620 Ager Road,,Hyattsville MD  20782,P08605,06/23/2022,05/31/2024,
KAISER PERMANENTE WHITE MARSH PHARMACY,4920 CAMPBELL BLVD,,White Marsh MD  21236,P05133,12/29/2009,05/31/2024,
KAISER PERMANENTE WOODLAWN INFUSION,7141 SECURITY BLVD,,BALTIMORE MD  21244,PW0333,03/01/2010,05/31/2024,
KAISER PERMANENTE WOODLAWN PHARMACY,7141 SECURITY BLVD,,BALTIMORE MD  21244,P05134,12/29/2009,05/31/2024,
KAREMORE PHARMACY,12085 NORTH SOMERSET AV,UNIT 5,PRINCESS ANNE MD  21853,P02584,03/29/2001,05/31/2024,
KAREMORE PHARMACY 002,817 SNOW HILL ROAD,SUITE 2,SALISBURY MD  21804,P04749,05/05/2008,05/31/2024,
Kay Cee LTC Pharmacy,4611 Assembly Drive,SUITE H,Lanham MD  20706,PW0327,04/29/2009,05/31/2024,
Kennie's Pharmacy,11 Grand Drive,,Taneytown MD  21787,P05541,06/29/2011,05/31/2024,
KENSINGTON PHARMACY,3737 W UNIV BLVD,,KENSINGTON MD  20895,P04371,12/02/2005,05/31/2024,
Keyona LLC dba Empire Towers Pharmacy,7310 Ritchie Highway,Suite 110,Glen Burnie MD  21061,P07851,05/02/2018,05/31/2024,
KEYSTONE PHARMACY,1358 W  NORTH AVE,,BALTIMORE MD  21217,P08543,02/11/2022,05/31/2024,
KINGS PHARMACY INC,7627 WOODBINE RD,PO BOX 256,WOODBINE MD  21797,P04737,03/21/2008,05/31/2024,
KLEINS SHOPRITE PHARMACY #545,2101 ROCK SPRING ROAD,,FOREST HILL MD  21050,P00889,04/15/1981,05/31/2024,
KLEINS SHOPRITE PHARMACY #547,223 NORTH MAIN STREET,,BELAIR MD  21014,P01415,05/02/1989,05/31/2024,
KLEINS SHOPRITE PHARMACY #548,949 BEARDS HILL RD,,ABERDEEN MD  21001,P01248,02/24/1986,05/31/2024,
KLEINS SHOPRITE PHARMACY #549,5 BEL AIR S  PKWY,SUITE 301,Bel Air MD  21015,P01541,01/12/1990,05/31/2024,
KLEINS SHOPRITE PHARMACY #551,1321 RIVERSIDE PARKWAY,,BELCAMP MD  21017,P01719,09/29/1992,05/31/2024,
KLEINS SHOPRITE PHARMACY #555,1606 DOOLEY ROAD,,CARDIFF MD  21160,P04010,12/31/2003,05/31/2024,
KLEINS SHOPRITE PHARMACY #563,14330 JARRETTSVILLE PK,,PHOENIX MD  21131,P04081,07/27/2004,05/31/2024,
KNOWLES APOTHOCARY,10400 CONNECTICUT AVE,#100,KENSINGTON MD  20895,P04386,01/18/2006,05/31/2024,
Koulward Health LLC dba Population Health Pharmacy,9 Aberdeen Shopping Plaza,,Aberdeen MD  21001,P08028,03/05/2019,05/31/2024,
Langley Park Pharmacy and Medical Supplies,8004 New Hampshire Avenue,,Hyattsville MD  20783,P07987,12/12/2018,05/31/2024,
LAPLATA   PHARMACY,6501  CRAIN  HWY,,La Plata MD  20646,P06473,09/26/2014,05/31/2024,
LAUREL MAIN STREET PHARMACY,667  MAIN STREET,,Laurel MD  20707,P05892,03/01/2013,05/31/2024,
LAUREL PHARMACY,7350 VAN DUSEN ROAD,SUITE 120A,LAUREL MD  20707,P04144,02/15/2005,05/31/2024,
LAVALE PHARMACY INC,1221 C NATIONAL HWY,,Cumberland MD  21502,P01287,12/18/1996,05/31/2024,
LAWSONS PHARMACY,3415 HAMILTON ST,,HYATTSVILLE MD  20782,P08645,08/30/2022,05/31/2024,
Laxmi Durga Rx LLC dba Edmondson Pharmacy,4506 Edmondson Avenue,,Baltimore MD  21229,P05814,10/18/2012,05/31/2024,
