,Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,Unnamed: 7,lat,long,accuracy,lng
355,Cyreene LLC dba Cyreene Pharmacy,25805 Point Lookout Road,Suite C,Leonardtown MD  20650,P08182,12/11/2019,05/31/2024,,38.301589,,1,-76.649855
356,Daily Care Pharmacy,167 Jennifer Road,Suite D,Annapolis MD  21401,P08445,05/24/2021,05/31/2024,,38.986902,,1,-76.542707
357,Darlington Pharmacy,1115 Main Street,,Darlington MD  21034,P07123,05/02/2016,05/31/2024,,39.641036,,1,-76.202726
358,DEALE PHARMACY,5809 DEALE CHURCHTON RD,,DEALE MD  20751,P05745,08/29/2012,05/31/2024,,38.792143,,1,-76.546248
359,DEEP CREEK PHARMACY,24465 GARRETT HIGHWAY,,MCHENRY MD  21541,P01762,04/09/1993,05/31/2024,,39.560056,,1,-79.355404
360,Delmarva Pharmacy,1615 TREE SAP COURT,,SALISBURY MD  21804,P07848,05/16/2018,05/31/2024,,38.363526,,1,-75.554204
361,Delmarva Pharmacy # 2,12137 Elm Street,,Princess Anne MD  21853,P04533,12/12/2006,05/31/2024,,38.214762,,1,-75.698062
362,DEMMY'S  PHARMACY  LLC,4900 Greenbelt Road,,College Park MD  20740,P06131,01/23/2014,05/31/2024,,38.99839,,1,-76.926492
363,DEPT OF DEFENSE HEALTH SERVICES,9800 SAVAGE ROAD,SUITE 6218,FT MEADE MD  20755,PW0241,12/01/2003,05/31/2024,,39.108766,,1,-76.770857
364,Diksha LLC dba Caplet Pharmacy,6310 Stevens Forest Road,,Columbia MD  21046,P08415,03/25/2021,05/31/2024,,39.198334,,1,-76.853149
365,Dimensions Health Corporation dba University of Maryland Bowie Health Center,15001 Health Center Drive,Room 103,Bowie MD  20716,P08228,02/07/2020,05/31/2024,,38.949268,,1,-76.745838
366,Dimensions Health Corporation dba University of Maryland Capital Region Medical Center,901 N Harry S Truman Drive,,Upper Marlboro MD  20774,P08413,03/23/2021,05/31/2024,,38.902454,,0.95,-76.84435
367,Dimensions Health Corporation dba University of Maryland Laurel Medical Center,7300 Van Dusen Road,,Laurel MD  20707,P01025,07/15/1994,05/31/2024,,39.086954,,1,-76.88144
368,DOCTORS COMMUNITY HOSPITAL,8118 GOOD LUCK ROAD,,LANHAM MD  20706,P08135,07/01/2019,05/31/2024,,38.982597,,1,-76.865391
369,Dragonfly Hospice Pharmacy,1710 Underpass Way,,Hagerstown MD  21740,PW0540,06/30/2022,05/31/2024,,39.629434,,1,-77.769069
370,"Drug City Pharmacy, LLC",2805 North Point Road,,Dundalk MD  21222,P07196,09/19/2016,05/31/2024,,39.279027,,1,-76.489557
371,DrugGlobe Inc.,1803 Research Blvd,Suite 102,Rockville MD  20850,PW0528,05/19/2020,05/31/2024,,39.098257,,1,-77.180071
372,Drugs Cure Pharmacy & Surgicals,209 Wise Avenue,,Dundalk MD  21222,P08092,06/28/2019,05/31/2024,,39.262061,,1,-76.482256
373,DULANEY VALLEY HEALTH MART PHARMACY,716 DULANEY VALLEY ROAD,,Towson MD  21204,P05905,03/19/2013,05/31/2024,,39.404383,,1,-76.602354
374,DUNDALK PHARMACY,40 S DUNDALK AVE,,BALTIMORE MD  21222,P00439,01/01/1973,05/31/2024,,39.256892,,1,-76.524123
375,Eager Park Pharmacy and Health Services LLC dba Walgreens #15284,900 N. WASHINGTON STREET,SUITE 1,Baltimore MD  21205,P06161,11/01/2013,05/31/2024,,39.300745,,1,-76.590784
376,EAST PINES PHARMACY & MED EQUIP,6003 66TH AVENUE,SUITE 102,RIVERDALE MD  20737,P04821,09/29/2008,05/31/2024,,38.960295,,1,-76.903359
377,EASTERN AVENUE PHARMACY AND MEDICAL EQUIPMENT LLC,5901 EASTERN AVE,Suite D,Baltimore MD  21224,P06257,02/12/2014,05/31/2024,,39.287142,,1,-76.545359
378,EASTERN SHORE HOSPITAL CTR,5262 WOODS ROAD,,Cambridge MD  21613,P00213,04/24/2001,05/31/2024,,38.540541,,1,-76.065036
379,Eden Pharmacy,481 N. Frederick Avenue,Suite 103,Gaithersburg MD  20877,P08573,04/14/2022,05/31/2024,,39.149911,,1,-77.207962
380,EDWARDS PHARMACY,102 S. COMMERCE STREET,,CENTREVILLE MD  21617,P04614,06/26/2007,05/31/2024,,39.044259,,1,-76.065648
381,Elevation Pharmacy,7651 Matapeake Business Drive,Suite 114,Brandywine MD  20613,P08235,02/28/2020,05/31/2024,,38.674937,,1,-76.870403
382,"Ellicott City Pharmacy, Inc.",10194 Baltimore National Pike,Suite 104,ELLICOTT CITY MD  21042,P08085,05/17/2019,05/31/2024,,39.28062,,1,-76.864259
383,EMINENT SERVICES CORP,7495 NEW TECHNOLOGY WAY,,FREDERICK MD  21703,P02381,08/01/2002,05/31/2024,,39.376548,,1,-77.402534
384,EMPIRE PROFESSIONAL PHARMACY,200 HOSPITAL DR,SUITE 107,GLEN BURNIE MD  21061,P07512,05/10/2017,05/31/2024,,39.138613,,1,-76.620063
385,Encompass Health Rehabilitation Hospital of Salisbury,220 TILGHMAN ROAD,,SALISBURY MD  21804,PW0301,07/07/2008,05/31/2024,,38.369037,,1,-75.54865
386,Erdman Avenue Pharmacy,3109 Erdman Ave,,Baltimore MD  21213,P07983,02/15/2019,05/31/2024,,39.321118,,1,-76.573293
387,ESSEX PHARMACY & SURGICALS,1550 COUNTRY RIDGE LANE,,ESSEX MD  21221,P05606,12/09/2011,05/31/2024,,39.310483,,1,-76.447474
388,Eva Pharmacy,2101 Garrison Blvd,,Baltimore MD  21216,P08563,03/17/2022,05/31/2024,,39.311262,,1,-76.674722
389,EXPRESS PHARMACY,25 NORTH CANNON AVENUE,,Hagerstown MD  21740,P05981,06/07/2013,05/31/2024,,39.639946,,1,-77.714555
390,EXTENCARE INC,7379 WASHINGTON BLVD,Suite 103,ELKRIDGE MD  21075,PW0039,02/10/1995,05/31/2024,,39.180882,,1,-76.763879
391,EXTRACARE PHARMACY,883 N HOWARD ST,,BALTIMORE MD  21201,P04023,03/01/2004,05/31/2024,,39.30053,,1,-76.619836
392,FACTOR ONE SOURCE PHARMACY LLC dba INFUCARE RX OF MD,217 Glenn Street,Suite #300,Cumberland MD  21502,PW0521,12/27/2018,05/31/2024,,39.653949,,1,-78.758011
393,FAITH  PHARMACY  LLC,7915  HARFORD  RD,,Parkville MD  21234,P06678,12/16/2014,05/31/2024,,39.374791,,1,-76.541772
394,FALLSTON  PHARMACY,2112  BELAIR  RD  SUITE  # 11,,Fallston MD  21047,P06245,01/13/2014,05/31/2024,,39.495235,,1,-76.391615
395,FAMILY  CARE  PHARMACY  LLC,46300  LEXINGTON  VILLAGE  WAY,SUITE 104,Lexington Park MD  20653,P06493,09/12/2014,05/31/2024,,38.28531,,1,-76.479365
396,FAMILY MEDS INC,12114 OLD LINE CENTER,R-7A,WALDORF MD  20602,P05259,04/19/2010,05/31/2024,,38.616899,,1,-76.890713
397,FAMILY PHARMACY,907 S MAIN ST,STE A,HAMPSTEAD MD  21074,P04567,05/30/2007,05/31/2024,,39.600912,,1,-76.848029
398,FELDMAN'S MEDICAL CENTER PHARMACY,11055 LITTLE PATUXENT PARKWAY,SUITE L 5,Columbia MD  21044,P06963,10/13/2015,05/31/2024,,39.214705,,1,-76.884058
399,FELDMANS PHARMACY AT CHARTWELL,8186 LARK BROWN RD,SUITE 101,ELKRIDGE MD  21075,P05365,07/29/2010,05/31/2024,,39.18946,,1,-76.795327
400,FHCB Health System,3540 S Hanover Street,,Brooklyn MD  21225,P08333,10/15/2020,05/31/2024,,39.239397,,1,-76.609661
401,Finksburg Pharmacy,2027 Suffolk Road,Unit 4,Finksburg MD  21048,P08227,02/06/2020,05/31/2024,,39.520054,,1,-76.911026
402,FIRSTCALL PHARMACY LLC dba HOWARD PHARMACY,405 N. PACA STREET,2 nd FLOOR,Baltimore MD  21201,PW0488,09/30/2015,05/31/2024,,39.294154,,1,-76.622194
403,FISHER BIOSERVICES,14665 ROTHGEB DRIVE,,ROCKVILLE MD  20850,P04312,08/15/2005,05/31/2024,,39.099214,,1,-77.133134
404,FOERS MED ARTS PHARMACY,8218 WISCONSIN AVENUE,,BETHESDA MD  20814,P00238,01/01/1978,05/31/2024,,38.992187,,1,-77.096131
405,"Fort Washington Pharmacy, LLC",12764 Old Fort Road,,Fort Washington MD  20744,P07492,04/13/2017,05/31/2024,,38.712147,,1,-76.987632
406,FRANKLIN CARE PHARMACY,520 North Franklintown Road,,Baltimore MD  21223,P06887,06/26/2015,05/31/2024,,39.29381,,1,-76.663147
407,Frederick Community Pharmacy,190 Thomas Johnson Drive,Unit 3,Frederick MD  21702,P07455,01/20/2017,05/31/2024,,39.439467,,1,-77.406518
408,Frederick Health Hospital Inc.,400 West Seventh Street,,FREDERICK MD  21701,P00244,01/01/1980,05/31/2024,,39.422633,,1,-77.414817
409,Frederick Health Medical Group Infusion Pharmacy,1562 Oppossumtown Pike,,Frederick MD  21702,P07485,06/01/2017,05/31/2024,,39.438089,,1,-77.408502
410,Frederick Health Pharmacy,400 West 7th Street,,Frederick MD  21701,P08284,07/09/2020,05/31/2024,,39.422633,,1,-77.414817
411,FREEDOM DRUGS,7568 NORTH POINT ROAD,,BALTIMORE MD  21219,P04394,04/12/2006,05/31/2024,,39.235793,,1,-76.441051
412,Friendly Pharmacy,5720 DEALE CHURCHTON RD,,DEALE MD  20751,P04580,05/30/2007,05/31/2024,,38.795604,,1,-76.544565
413,FRIENDSHIP PHARMACY,5530 WISCONSIN AVENUE,SUITE 100,CHEVY CHASE MD  20815,P08113,07/09/2019,05/31/2024,,38.964896,,1,-77.088315
414,FRIENDSVILLE PHARMACY,248 MAPLE STREET,PO BOX 127,Friendsville MD  21531,P06419,07/29/2014,05/31/2024,,39.663491,,1,-79.403542
415,FULLER MEDICAL CENTER PHARMACY,6918 RIDGE ROAD,,Baltimore MD  21237,P05823,11/16/2012,05/31/2024,,39.350057,,1,-76.48644
416,"Fulton Pharmacy, LLC dba Whitesell Long Term Care Pharmacy",228 W. Patrick Street,,Frederick MD  21701,PW0514,10/31/2017,05/31/2024,,39.413174,,1,-77.416764
417,"Fulton Pharmacy, LLC dba Whitesell Pharmacy",236 N MARKET ST,,Frederick MD  21701,P04757,06/20/2008,05/31/2024,,39.417459,,1,-77.410401
418,"Gaithersburg Pharmacy, LLC",8035A Snouffer School Road,,Gaithersburg MD  20879,P07938,10/23/2018,05/31/2024,,39.160902,,1,-77.162477
419,GALENA PHARMACY INC,104 WEST CROSS STREET,,GALENA MD  21635,P01035,10/28/2003,05/31/2024,,39.340952,,1,-75.879675
420,Geipe Pharmacy,516 N Rolling Road,Suite 101,Catonsville MD  21228,P08222,01/15/2020,05/31/2024,,39.280718,,1,-76.754959
421,Genoa Healthcare LLC,975 SOLOMONS ISLAND RD NORTH,STE 1A P.O.BOX 980,Prince Frederick MD  20678,P08597,06/07/2022,05/31/2024,,38.55823,,1,-76.597164
422,"Genoa Healthcare, LLC dba Genoa Healthcare, LLC  #20360",10 Distillery Dr,Suite 200-P,Westminster MD  21157,P08463,06/24/2021,05/31/2024,,39.575944,,1,-76.994236
423,Geriscript of MD LLC,796 Cromwell Park Drive,Suite D,Glen Burnie MD  21061,P08603,06/22/2022,05/31/2024,,39.17952,,1,-76.642624
424,GIANT EAGLE PHARMACY 1841,1275 W PATRICK STREET,,FREDERICK MD  21702,P02508,07/14/2000,05/31/2024,,39.41955,,1,-77.44835
425,GIANT EAGLE PHARMACY 1842,1305 W 7TH STREET,,FREDERICK MD  21702,P01878,10/02/1998,05/31/2024,,39.43157,,1,-77.418669
426,Giant of Salisbury Inc. DBA Acme Pharmacy #896,751 S Salisbury Blvd,,Salisbury MD  21801,P07368,09/02/2016,05/31/2024,,38.354293,,1,-75.599667
427,GIANT PHARMACY  338,7025 BERRY ROAD,,ACCOKEEK MD  20607,P03138,05/02/2003,05/31/2024,,38.660229,,1,-77.016571
428,GIANT PHARMACY # 301,13781 CONNECTICUT AVE,,SILVER SPRINGS MD  20906,P04658,10/05/2007,05/31/2024,,39.079815,,1,-77.078957
429,GIANT PHARMACY # 343,11740 ROUSBY HALL ROAD,,LUSBY MD  20657,P04686,12/14/2007,05/31/2024,,38.374162,,1,-76.441593
430,Giant Pharmacy #0100,11399 York Road,,Cockeysville MD  21030,P01513,11/03/1989,05/31/2024,,39.495323,,1,-76.648464
431,Giant Pharmacy #0108,6340 YORK RD,,BALTIMORE MD  21212,P00254,12/23/1954,05/31/2024,,39.372955,,1,-76.611993
432,Giant Pharmacy #0147,9580 Livingston Road,,FT WASHINGTON MD  20744,P00283,12/23/1954,05/31/2024,,38.757895,,1,-76.995036
433,Giant Pharmacy #0308,13 Lee Airpark Road,,Edgewater MD  21037,P00290,12/23/1954,05/31/2024,,38.943185,,1,-76.563933
434,Giant Pharmacy #0310,15520 ANNAPOLIS RD,,BOWIE MD  20715,P00260,12/23/1954,05/31/2024,,38.9816,,1,-76.735571
435,GIANT PHARMACY #0339,200 ROSEWICK ROAD,,La Plata MD  20646,P06315,03/20/2014,05/31/2024,,38.557107,,1,-76.984825
436,Giant Pharmacy #0348,6050 DAYBREAK CIR,,CLARKSVILLE MD  21029,P02125,09/27/1997,05/31/2024,,39.211497,,1,-76.935853
437,Giant Pharmacy #0349,3530 SUGARLOAF PKWY,,FREDERICK MD  21704,P04539,02/09/2007,05/31/2024,,39.330726,,1,-77.352149
438,Giant Pharmacy #0350,11221 NEW HAMPSHIRE AVE,,SILVER SPRING MD  20904,P00976,01/21/1983,05/31/2024,,39.041082,,1,-76.989294
439,Giant Pharmacy #0353,8100 LOCH RAVEN BLVD,,BALTIMORE MD  21286,P00258,12/23/1954,05/31/2024,,39.387107,,1,-76.576862
440,Giant Pharmacy #0354,1280 EAST WEST HIGHWAY,,SILVER SPRING MD  20910,P00900,09/28/1981,05/31/2024,,38.991913,,1,-77.031774
441,Giant Pharmacy #0358,573 RITCHIE HWY,,SEVERNA PARK MD  21146,P00277,06/02/2000,05/31/2024,,39.076794,,1,-76.543186
442,Giant Pharmacy #0359,45101 FIRST COLONY WAY,,CALIFORNIA MD  20619,P02535,09/25/2000,05/31/2024,,38.29811,,1,-76.51508
443,Giant Pharmacy #0361,5700 SOUTHEAST CRAIN HW,,UPPER MARLBORO MD  20772,P01753,05/18/1993,05/31/2024,,38.811331,,0.8,-76.737909
444,Giant Pharmacy #0362,20944 FREDERICK RD,,GERMANTOWN MD  20876,P02126,09/27/1997,05/31/2024,,39.203271,,1,-77.247198
445,Giant Pharmacy #0363,1400 MERRITT BLVD,,DUNDALK MD  21222,P02617,07/03/2001,05/31/2024,,39.277792,,1,-76.505939
446,Giant Pharmacy #0364,1401 ROCK SPRING RD,,BELAIR MD  21014,P02674,12/26/2001,05/31/2024,,39.556628,,1,-76.369065
447,Giant Pharmacy #0365,3299 EMMORTON RD,,ABINGDON MD  21009,P02659,10/19/2001,05/31/2024,,39.472843,,1,-76.308311
448,Giant Pharmacy #0366,8750 ARLISS ST,,SILVER SPRING MD  20901,P00269,12/23/1954,05/31/2024,,38.999751,,1,-77.0024
449,Giant Pharmacy #0368,842 MUDDY BRANCH ROAD,,GAITHERSBURG MD  20878,P01232,10/17/1985,05/31/2024,,39.114844,,1,-77.217503
450,Giant Pharmacy #0373,5500 SILVER HILL,,DISTRICT HGTS MD  20747,P01038,01/30/1984,05/31/2024,,38.854045,,1,-76.912721
451,GIANT PHARMACY #2304,8905 BELAIR RD,,NOTTINGHAM MD  21236,P05740,08/08/2012,05/31/2024,,39.396992,,1,-76.479455
452,Giant Pharmacy #2310,9200 BALTO NATL PIKE,,ELLICOTT CITY MD  21043,P00275,12/23/1954,05/31/2024,,39.254833,,0.5,-76.800124
453,GIANT PHARMACY #2311,1155 ANNAPOLIS RD,,Odenton MD  21113,P06996,11/13/2015,05/31/2024,,39.080371,,1,-76.689948
454,Giant Pharmacy #2312,6636 N. Ritchie Highway,,Glen Burnie MD  21061,P01258,03/26/1986,05/31/2024,,39.196684,,1,-76.616087
455,GIANT PHARMACY #2317,18140 Village Mart Drive,,Olney MD  20832,P00263,12/23/1954,05/31/2024,,39.151883,,1,-77.063648
456,Giant Pharmacy #2330,1649 Crofton Center,,Crofton MD  21114,P00988,03/15/1983,05/31/2024,,39.015588,,1,-76.693854
457,Giant Pharmacy #2332,12028 Cherry Hill Road,,Silver Spring MD  20904,P08613,07/07/2022,05/31/2024,,39.054649,,1,-76.956281
458,GIANT PHARMACY #325,10790 TOWN CENTER BLVD,,DUNKIRK MD  20754,P04466,08/16/2006,05/31/2024,,38.72411,,1,-76.658411
459,GIANT PHARMACY 109,405 N CENTER STREET,,WESTMINSTER MD  21157,P01630,03/18/1991,05/31/2024,,39.575113,,1,-76.981127
460,GIANT PHARMACY 111,6480 FREETOWN ROAD,,COLUMBIA MD  21044,P01708,05/20/1992,05/31/2024,,39.19453,,1,-76.883906
461,GIANT PHARMACY 117,6223 BALTO NATL PIKE,,BALTIMORE MD  21228,P00259,12/23/1954,05/31/2024,,39.281543,,0.7,-76.752823
462,GIANT PHARMACY 123,7074 ALLENTOWN RD,,CAMP SPRINGS MD  20748,P00901,07/22/1981,05/31/2024,,38.792341,,1,-76.926624
463,GIANT PHARMACY 125,12051 ROCKVILLE PIKE,,ROCKVILLE MD  20850,P00272,12/23/1954,05/31/2024,,39.055296,,1,-77.115403
464,GIANT PHARMACY 128,2145 YORK RD,,LUTHERVILLE MD  21093,P00267,12/23/1954,05/31/2024,,39.443818,,1,-76.625003
465,GIANT PHARMACY 131,8665  PHILADELPHIA RD,,BALTIMORE MD  21237,P01298,09/11/1986,05/31/2024,,39.337502,,1,-76.484936
466,GIANT PHARMACY 132,10400 OLD GEORGETOWN RD,,BETHESDA MD  20814,P00274,12/23/1954,05/31/2024,,39.025821,,1,-77.127011
467,GIANT PHARMACY 135,3860 INTERNATIONAL DR,,SILVER SPRING MD  20906,P01288,10/20/1986,05/31/2024,,39.101465,,1,-77.075208
468,GIANT PHARMACY 140,5815 EASTERN AVE,,W HYATTSVILLE MD  20782,P02063,06/12/1997,05/31/2024,,38.961294,,1,-76.995225
469,GIANT PHARMACY 141,7940 CRAIN HWY,,GLEN BURNIE MD  21061,P00279,12/23/1954,05/31/2024,,39.133418,,1,-76.638311
470,GIANT PHARMACY 143,4715 DORSEY HALL DRIVE,,ELLICOTT CITY MD  21043,P01512,08/18/1989,05/31/2024,,39.243376,,1,-76.842882
471,GIANT PHARMACY 144,7920-30 BELAIR RD,,BALTIMORE MD  21236,P00280,12/23/1954,05/31/2024,,39.374309,,0.9,-76.511328
472,GIANT PHARMACY 145,5150 SINCLAIR LANE,,BALTIMORE MD  21206,P00281,12/23/1954,05/31/2024,,39.322796,,1,-76.544849
473,GIANT PHARMACY 146,655 SOLOMONS ISLAND,ROAD NORTH,PR FREDERICK MD  20678,P01658,09/24/1991,05/31/2024,,38.551252,,0.9,-76.593309
474,GIANT PHARMACY 150,46 BUREAU DR,,GAITHERSBURG MD  20878,P00284,12/23/1954,05/31/2024,,39.144087,,1,-77.217832
475,GIANT PHARMACY 152,13490 NEW HAMPSHIRE AVE,,COLESVILLE MD  20904,P00286,12/23/1954,05/31/2024,,39.076923,,1,-77.003539
476,GIANT PHARMACY 155,7200 CRADLEROCK WAY,,COLUMBIA MD  21045,P00288,12/23/1954,05/31/2024,,39.186279,,1,-76.843012
477,GIANT PHARMACY 159,3757 OLD COURT RD,,PIKESVILLE MD  21208,P00265,08/07/2002,05/31/2024,,39.377227,,1,-76.723646
478,GIANT PHARMACY 161,16837 CRABBS BRANCH WAY,,ROCKVILLE MD  20855,P00291,12/23/1954,05/31/2024,,39.130988,,1,-77.167836
479,GIANT PHARMACY 166,4622 WILKENS AVE,,BALTIMORE MD  21229,P00869,02/17/1981,05/31/2024,,39.266121,,1,-76.698627
480,GIANT PHARMACY 167,948 BAY RIDGE RD,,ANNAPOLIS MD  21403,P00891,12/23/1954,05/31/2024,,38.948528,,1,-76.486692
481,GIANT PHARMACY 169,13060 MIDDLEBROOK RD,,GERMANTOWN MD  20874,P00940,05/20/1980,05/31/2024,,39.181677,,1,-77.271047
482,GIANT PHARMACY 192,18250 FLOWER HILL WAY,,GAITHERSBURG MD  20879,P01354,03/12/1987,05/31/2024,,39.155295,,1,-77.165729
483,GIANT PHARMACY 194,2323 FOREST DRIVE,,ANNAPOLIS MD  21401,P01380,07/08/1987,05/31/2024,,38.978196,,1,-76.545537
484,GIANT PHARMACY 196,20044 GOSHEN ROAD,,GAITHERSBURG MD  20879,P01411,10/29/1987,05/31/2024,,39.186624,,1,-77.188454
485,GIANT PHARMACY 197,7944 HONEYGO BOULEVARD,,BALTIMORE MD  21236,P01442,05/31/1988,05/31/2024,,39.373577,,1,-76.472121
486,GIANT PHARMACY 198,9812 FALLS ROAD,,POTOMAC MD  20854,P01483,02/28/1989,05/31/2024,,39.017729,,1,-77.211432
487,GIANT PHARMACY 2301,15618 COLUMBIA PIKE,,BURTONSVILLE MD  20866,P01391,11/03/1987,05/31/2024,,39.111317,,1,-76.932223
488,GIANT PHARMACY 2318,10210 Mill Run Circle,,OWINGS MILLS MD  21117,P01910,09/22/1995,05/31/2024,,39.404833,,1,-76.790885
489,GIANT PHARMACY 300,8805 CENTRE PARK DRIVE,,COLUMBIA MD  21045,P03172,11/06/2003,05/31/2024,,39.227818,,1,-76.817181
490,GIANT PHARMACY 303,601 EAST 33RD STREET,,BALTIMORE MD  21218,P04050,06/16/2004,05/31/2024,,39.327738,,1,-76.607572
491,GIANT PHARMACY 304,3297 PLAZA WAY,,WALDORF MD  20603,P04069,06/17/2004,05/31/2024,,38.621189,,0.87,-76.918523
492,GIANT PHARMACY 313,18331 LEAMAN FARM ROAD,,GERMANTOWN MD  20874,P02382,08/04/1999,05/31/2024,,39.15958,,1,-77.278944
493,GIANT PHARMACY 315,7546 ANNAPOLIS ROAD,,LANHAM MD  20784,P01732,10/22/1992,05/31/2024,,38.951293,,1,-76.887511
494,GIANT PHARMACY 316,6000 GREENBELT ROAD,,GREENBELT MD  20770,P01754,03/05/1993,05/31/2024,,38.999787,,1,-76.909795
495,GIANT PHARMACY 317,4624 EDMONDSON AVENUE,,BALTIMORE MD  21229,P02279,10/08/1998,05/31/2024,,39.293943,,1,-76.695728
496,GIANT PHARMACY 319,625 HUNGERFORD DRIVE,,ROCKVILLE MD  20850,P03027,05/17/2002,05/31/2024,,39.092479,,1,-77.152162
497,GIANT PHARMACY 320,229 KENTLANDS BLVD,,GAITHERSBURG MD  20878,P01800,10/15/1993,05/31/2024,,39.125393,,1,-77.2385
498,GIANT PHARMACY 322,11604 REISTERSTOWN ROAD,,REISTERSTOWN MD  21136,P03032,06/21/2002,05/31/2024,,39.44109,,1,-76.80766
499,GIANT PHARMACY 323,8223 ELLIOTT RD,,EASTON MD  21601,P01829,06/08/1994,05/31/2024,,38.774735,,1,-76.055624
500,GIANT PHARMACY 324,4315 MOUNTAIN ROAD,,PASADENA MD  21122,P03189,12/11/2003,05/31/2024,,39.120071,,1,-76.511573
501,GIANT PHARMACY 326,10515 GREENBELT ROAD,,LANHAM MD  20706,P03188,12/04/2003,05/31/2024,,38.988715,,1,-76.823739
502,GIANT PHARMACY 327,7142 ARLINGTON ROAD,,BETHESDA MD  20814,P03083,11/08/2002,05/31/2024,,38.981336,,1,-77.099254
503,GIANT PHARMACY 329,9719 TRAVILLE GTWY DR,,ROCKVILLE MD  20850,P03082,12/23/2002,05/31/2024,,39.091182,,0.95,-77.20313
504,GIANT PHARMACY 330,3500 N W  CRAIN HWY,,BOWIE MD  20716,P01935,12/05/1995,05/31/2024,,38.936838,,1,-76.720863
505,GIANT PHARMACY 334,3521 EAST WEST HWY,,HYATTSVILLE MD  20782,P04025,02/04/2004,05/31/2024,,38.965685,,1,-76.958514
506,GIANT PHARMACY 335,1700 KINGFISHER DRIVE,SHOPS AT MONOCACY,FREDERICK MD  21701,P04108,10/01/2004,05/31/2024,,39.447992,,1,-77.383777
507,GIANT PHARMACY 336,2900 UNIVERSITY BLVD W,,WHEATON MD  20902,P03179,10/06/2003,05/31/2024,,39.037642,,1,-77.058296
508,GIANT PHARMACY 337,6620 REISTERSTOWN RD,,BALTIMORE MD  21215,P04079,07/29/2004,05/31/2024,,39.357327,,1,-76.704141
509,GIANT PHARMACY 340,1009 FAIRLAWN ST,,LAUREL MD  20707,P00287,12/23/1954,05/31/2024,,39.096549,,1,-76.856051
510,GIANT PHARMACY 341,20 AUDREY LANE,,OXON HILL MD  20745,P02072,07/07/1997,05/31/2024,,38.817172,,1,-77.002281
511,GIANT PHARMACY 342,4119 BRANCH AVE,,MARLOW HGTS MD  20748,P01412,03/01/1988,05/31/2024,,38.832603,,1,-76.944263
512,Giant Pharmacy 344,6020 MARSHALEE DR,,ELKRIDGE MD  21075,P02047,03/28/1997,05/31/2024,,39.209755,,1,-76.778552
513,Giant Pharmacy 346,5316 NEW DESIGN RD,,FREDERICK MD  21701,P02207,12/10/1997,05/31/2024,,39.380926,,1,-77.422498
514,Giant Pharmacy 347,10480 CAMPUS WAY SOUTH,,LARGO MD  20774,P02206,01/06/1998,05/31/2024,,38.894835,,1,-76.826838
515,GIG Pharmacy Home Healthcare,3611 BRANCH AVE,SUITE 103,TEMPLE HILLS MD  20748,P02537,10/06/2000,05/31/2024,,38.842172,,1,-76.949149
516,Glen Burnie Pharmacy dba LIFELINE PHARMACY,85 KINDRED WAY,SUITE  102,Glen Burnie MD  21061,P07997,12/26/2018,05/31/2024,,39.150357,,1,-76.632435
517,GLEN ECHO PHARMACY,7311 MACARTHUR BLVD,,BETHESDA MD  20816,P01850,09/30/1994,05/31/2024,,38.969474,,1,-77.138868
518,Glenmont Pharmacy LLC,12331 Georgia Avenue,Suite 1A,Silver Spring MD  20906,P08568,03/24/2022,05/31/2024,,39.060448,,1,-77.048556
519,Glenmore Specialty Pharmacy,9712 Belair Road,Suite 101,Nottingham MD  21236,PW0480,09/15/2015,05/31/2024,,39.417362,,1,-76.459179
520,GLOBAL HEALTH PHARMACY INC,7500 MONTPELIER ROAD,SUITE 106,LAUREL MD  20723,P05004,06/09/2009,05/31/2024,,39.160591,,1,-76.892004
521,Glory Pharmacy,3404 Eastern Avenue,,Baltimore MD  21224,P07638,11/16/2017,05/31/2024,,39.28678,,1,-76.568738
522,GOVANS PROFESSIONAL PHARMACY,5109 YORK ROAD,,BALTIMORE MD  21212,P01226,09/05/1985,05/31/2024,,39.351304,,1,-76.609396
523,Grace Medical Center  Inc.,2000 W BALTIMORE ST,,BALTIMORE MD  21223,P08236,03/10/2020,05/31/2024,,39.288332,,1,-76.64912
524,Greater Baden Medical Services Pharmacy,7450 Albert road,Suite 104,Brandywine MD  20613,P08497,09/24/2021,05/31/2024,,38.670795,,1,-76.878898
525,GREATER BALTIMORE MEDICAL CENTER,6701 N CHARLES ST,,BALTIMORE MD  21204,P00299,10/07/1960,05/31/2024,,39.389905,,1,-76.622085
526,Greater Baltimore Medical Center Specialty Pharmacy,6701 N. Charles Street,Suite B,Baltimore MD  21204,P08428,04/16/2021,05/31/2024,,39.389905,,1,-76.622085
527,Green Pharmacy LLC,501 North Frederick Avenue,Suite 107B,Gaithersburg MD  20877,P07156,06/07/2017,05/31/2024,,39.150991,,1,-77.209214
528,GREENBELT PHARMACY,9801 GREENBELT ROAD,SUITE 207,LANHAM MD  20706,P05041,01/06/2010,05/31/2024,,38.990096,,1,-76.835417
529,GREENSBORO PHARMACY INC,102 S MAIN STREET,PO BOX 490,GREENSBORO MD  21639,P00353,12/09/2002,05/31/2024,,38.973684,,1,-75.8059
530,GREGGS PHARMACY,20 NORTH 3RD STREET,,OAKLAND MD  21550,P01328,08/23/1993,05/31/2024,,39.411183,,1,-79.405823
